duration,x^0     ,x^1     ,x^2     ,x^3     ,x^4     ,x^5     ,x^6     ,x^7     ,y^0     ,y^1     ,y^2     ,y^3     ,y^4     ,y^5     ,y^6     ,y^7     ,z^0     ,z^1     ,z^2     ,z^3     ,z^4     ,z^5     ,z^6     ,z^7     ,yaw^0   ,yaw^1   ,yaw^2   ,yaw^3   ,yaw^4   ,yaw^5   ,yaw^6   ,yaw^7   
2.000000,0.500000,-0.000000,0.000000,-0.000000,-0.010954,0.009549,-0.003258,0.000410,0.000000,0.000000,0.000000,0.000000,0.091353,-0.084510,0.029246,-0.003678,0.000000,0.000000,0.000000,0.000000,0.019525,-0.018035,0.006240,-0.000785,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,0.474268,-0.028510,-0.005488,0.002524,-0.002232,0.001116,-0.000329,0.000041,0.158334,0.130151,-0.020642,-0.029668,0.025279,-0.010761,0.002954,-0.000372,0.034188,0.028507,-0.003944,-0.006240,0.005381,-0.002294,0.000630,-0.000079,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,0.399721,-0.046970,-0.005810,-0.000174,0.000162,0.000059,-0.000033,0.000004,0.300371,0.040436,0.006578,0.006787,-0.003634,-0.000204,0.000298,-0.000038,0.068376,0.012005,0.002225,0.001500,-0.000772,-0.000044,0.000064,-0.000008,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,0.284032,-0.066912,-0.003422,0.000500,-0.000134,0.000028,-0.000003,0.000000,0.411492,0.056112,-0.009789,-0.003690,0.002281,-0.000398,0.000030,-0.000004,0.102564,0.019293,-0.000945,-0.000742,0.000482,-0.000085,0.000006,-0.000001,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,0.139109,-0.077107,-0.001921,0.000248,0.000057,-0.000007,-0.000000,0.000000,0.480259,0.017952,-0.004303,0.001356,-0.000891,0.000122,0.000003,-0.000000,0.136752,0.016147,0.000410,0.000309,-0.000192,0.000026,0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,-0.020133,-0.080603,0.000311,0.000386,-0.000024,0.000003,-0.000000,0.000000,0.499594,-0.001323,-0.007314,-0.000617,0.000411,-0.000058,0.000000,-0.000000,0.170940,0.017502,-0.000176,-0.000134,0.000084,-0.000012,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,-0.177302,-0.075270,0.002280,0.000310,0.000005,-0.000002,-0.000000,0.000000,0.467508,-0.029391,-0.005710,0.000395,-0.000157,0.000024,0.000000,-0.000000,0.205128,0.016918,0.000076,0.000058,-0.000036,0.000005,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,-0.316223,-0.062419,0.004113,0.000277,-0.000013,0.000000,-0.000000,0.000000,0.387302,-0.050590,-0.005180,0.000104,0.000084,-0.000011,0.000000,-0.000000,0.239316,0.017170,-0.000033,-0.000025,0.000016,-0.000002,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,-0.422595,-0.043044,0.005480,0.000183,-0.000010,-0.000000,-0.000000,0.000000,0.267233,-0.068236,-0.003402,0.000345,-0.000024,0.000004,0.000000,-0.000000,0.273504,0.017061,0.000014,0.000011,-0.000007,0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.000000,-0.485471,-0.019282,0.006302,0.000085,-0.000015,0.000000,-0.000000,0.000000,0.119658,-0.078147,-0.001581,0.000317,0.000017,-0.000002,0.000000,-0.000000,0.307692,0.017108,-0.000006,-0.000005,0.000003,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
